          upper                     lower
      X          Y              X          Y
  1.8421E+04  8.3131E-01    1.7248E+04  8.0190E-01   
  2.1011E+04  8.4845E-01    1.7411E+04  7.5194E-01   
  2.4884E+04  8.5323E-01    1.8421E+04  7.2298E-01   
  2.8118E+04  8.4951E-01    1.9307E+04  6.8565E-01   
  3.1772E+04  8.4995E-01    2.0620E+04  6.6922E-01   
  3.5901E+04  8.4206E-01    2.2230E+04  6.3199E-01   
  4.0187E+04  8.3413E-01    2.3520E+04  5.9469E-01   
  4.4147E+04  8.0531E-01    2.5119E+04  5.6577E-01   
  4.7594E+04  7.8891E-01    2.7080E+04  5.4520E-01   
  5.0355E+04  7.7245E-01    2.8651E+04  5.2457E-01   
  5.4287E+04  7.3939E-01    3.1475E+04  5.0408E-01   
  5.7978E+04  7.1879E-01    3.3300E+04  4.8345E-01   
  6.1342E+04  6.7316E-01    3.6927E+04  4.6299E-01   
  6.4293E+04  6.4833E-01    4.0187E+04  4.3413E-01   
  6.9968E+04  6.2364E-01    4.3325E+04  4.2190E-01   
  7.3334E+04  5.9881E-01    5.0830E+04  4.3082E-01   
  7.8321E+04  5.7405E-01    4.9884E+04  3.7241E-01   
  8.4437E+04  5.4099E-01    5.5317E+04  3.5612E-01   
  9.0178E+04  5.2456E-01    6.1342E+04  3.4816E-01   
  9.8138E+04  4.9986E-01    6.5513E+04  3.2757E-01   
  1.0680E+05  4.6684E-01    7.1969E+04  3.0707E-01   
  1.1406E+05  4.6707E-01    7.6862E+04  2.8648E-01   
  1.2297E+05  4.4235E-01    8.2089E+04  2.6588E-01   
  1.3257E+05  4.2179E-01    9.2757E+04  2.2466E-01   
  1.4701E+05  4.0133E-01    9.9065E+04  2.3740E-01   
  1.6150E+05  3.8917E-01    1.0680E+05  2.0434E-01   
  1.7411E+05  3.5611E-01    1.1732E+05  1.9634E-01   
  1.8947E+05  3.3974E-01    1.2768E+05  1.7998E-01   
  2.0620E+05  3.3172E-01    1.4159E+05  1.5952E-01   
  2.2230E+05  3.0699E-01    1.4980E+05  1.3473E-01   
  2.4421E+05  2.9066E-01    1.6611E+05  1.1844E-01   
  2.6081E+05  2.7840E-01    1.7909E+05  1.0204E-01   
  2.8922E+05  2.5378E-01    1.9859E+05  7.7415E-02   
  3.0888E+05  2.3735E-01    2.1410E+05  7.3520E-02   
  3.3300E+05  2.1679E-01    2.3742E+05  6.9728E-02   
  3.6582E+05  2.0879E-01    2.6081E+05  5.3401E-02   
  4.0187E+05  1.8830E-01    2.8651E+05  4.1241E-02   
  4.3325E+05  1.7190E-01    3.2072E+05  3.7483E-02   
  4.5838E+05  1.4294E-01    3.7276E+05  4.2194E-02   
  4.6708E+05  1.1801E-01    4.4147E+05  7.6139E-02   
